P(A, B, C, D, E, F, G, H, I) = 1.8000000000000006e-08
P(A, B, C, D, E, F, G, H, Not I) = 1.7820000000000005e-06
P(A, B, C, D, E, F, G, Not H, I) = 3.240000000000001e-06
P(A, B, C, D, E, F, G, Not H, Not I) = 1.2960000000000005e-05
P(A, B, C, D, E, F, Not G, H, I) = 1.0800000000000005e-06
P(A, B, C, D, E, F, Not G, H, Not I) = 1.6200000000000004e-06
P(A, B, C, D, E, F, Not G, Not H, I) = 2.1870000000000006e-05
P(A, B, C, D, E, F, Not G, Not H, Not I) = 2.43e-06
P(A, B, C, D, E, Not F, G, H, I) = 9.720000000000002e-07
P(A, B, C, D, E, Not F, G, H, Not I) = 9.622800000000001e-05
P(A, B, C, D, E, Not F, G, Not H, I) = 1.2960000000000005e-05
P(A, B, C, D, E, Not F, G, Not H, Not I) = 5.184000000000002e-05
P(A, B, C, D, E, Not F, Not G, H, I) = 5.832000000000001e-05
P(A, B, C, D, E, Not F, Not G, H, Not I) = 8.748000000000001e-05
P(A, B, C, D, E, Not F, Not G, Not H, I) = 8.748000000000004e-05
P(A, B, C, D, E, Not F, Not G, Not H, Not I) = 9.720000000000002e-06
P(A, B, C, D, Not E, F, G, H, I) = 9.000000000000003e-09
P(A, B, C, D, Not E, F, G, H, Not I) = 8.910000000000002e-07
P(A, B, C, D, Not E, F, G, Not H, I) = 1.6200000000000006e-06
P(A, B, C, D, Not E, F, G, Not H, Not I) = 6.480000000000002e-06
P(A, B, C, D, Not E, F, Not G, H, I) = 1.4400000000000006e-06
P(A, B, C, D, Not E, F, Not G, H, Not I) = 2.1600000000000005e-06
P(A, B, C, D, Not E, F, Not G, Not H, I) = 2.916000000000001e-05
P(A, B, C, D, Not E, F, Not G, Not H, Not I) = 3.2400000000000003e-06
P(A, B, C, D, Not E, Not F, G, H, I) = 4.860000000000001e-07
P(A, B, C, D, Not E, Not F, G, H, Not I) = 4.811400000000001e-05
